guid,user_dirs,lite_or_pro,projects_count,sessions_count,active_days,first_activity,last_activity,inactive_hours_till_2026_02_24_end,left_more_than_1_day,top_sites,top_themes,main_operations,edit_versions_avg,unique_action_pairs,top_error_category,top_error_count,last_error_category,last_error_time,stop_points,level,confidence_pct,score,occupation_in_zennoposter,what_works,what_not_works,characteristic
52ae62e2-8891-46dc-82b7-ce859a20bd45,User 281,pro,6,4,2,2026-02-23 12:36:00,2026-02-24 14:33:10,9.4,no,"outlook.live.com, login.microsoftonline.com, msn.com, login.live.com, outlook.office.com","Регистрация/аккаунты, Соцсети","Логика/ретраи, Навигация по сайтам, HTTP/API запросы, Прокси/профили/эмуляция",17.83,45,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска",2,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска",,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска",продвинутый,71.6,13.17,"Регистрация/аккаунты / Соцсети; чаще работает с сайтами: outlook.live.com, login.microsoftonline.com, msn.com",работает с прокси/профилями; подключает API/HTTP,"чаще всего стопорится на: выполнение действия htmlelement id: <id> группы действий id: <id> не найден html элемент, по условиям поиска","Занимается: Регистрация/аккаунты / Соцсети. Основные сайты: outlook.live.com, login.microsoftonline.com, msn.com. Стиль: точечно, небольшим числом проектов. Уровень: продвинутый."
6ca71284-ccb3-4397-8a55-4874038729d5,User 327,pro,6,8,6,2026-02-17 08:46:00,2026-02-23 13:12:59,34.8,yes,"enroll2.identityiq.com, enroll.identityiq.com, enroll.myscoreiq.com, member.creditscoreiq.com, member.identityiq.com","Лидогенерация/арбитраж, Регистрация/аккаунты","Формы/клики/DOM, Навигация по сайтам, Таблицы/Google Sheets, Парсинг/валидация",22.83,34,—,0,—,,итеративная отладка/стабильность,продвинутый,79.7,13.30,"Лидогенерация/арбитраж / Регистрация/аккаунты; чаще работает с сайтами: enroll2.identityiq.com, enroll.identityiq.com, enroll.myscoreiq.com",ведет учет в таблицах; уверенно автоматизирует формы и DOM-события,много итераций на стабильность и доводку флоу,"Занимается: Лидогенерация/арбитраж / Регистрация/аккаунты. Основные сайты: enroll2.identityiq.com, enroll.identityiq.com, enroll.myscoreiq.com. Стиль: точечно, небольшим числом проектов. Уровень: продвинутый."
e6b87d52-c11d-4790-9dde-a2350908483b,User 357,pro,6,6,1,2026-02-24 17:05:00,2026-02-24 21:15:30.911237,2.7,no,"2gis.ru, rc.zennoposter.com",Регистрация/аккаунты,"Прочие действия, Навигация по сайтам, Формы/клики/DOM, Таблицы/Google Sheets",8.33,11,—,0,—,,итеративная отладка/стабильность,средний,78.4,5.97,"Регистрация/аккаунты; чаще работает с сайтами: 2gis.ru, rc.zennoposter.com",ведет учет в таблицах; уверенно автоматизирует формы и DOM-события,много итераций на стабильность и доводку флоу,"Занимается: Регистрация/аккаунты. Основные сайты: 2gis.ru, rc.zennoposter.com. Стиль: точечно, небольшим числом проектов. Уровень: средний."
fba35c0f-a685-4fbf-8366-f577ebea53eb,User 380,pro,6,36,7,2026-02-17 15:44:00,2026-02-23 16:26:07,31.6,yes,"grok.com, facebook.com, checkout.stripe.com, accounts.google.com, labs.google","Регистрация/аккаунты, Соцсети, Лидогенерация/арбитраж","Навигация по сайтам, Формы/клики/DOM, Логика/ретраи, Прочие действия",32.83,37,Выполнение действия VariableOperations id: <id> группы действий id: <id> Переменная не число | System.FormatException: Входная строка имела ,2,Выполнение действия Запустить инстанс ZennoBrowser id: <id> группы действий id: <id> Ошибка запуска профиля ZennoBrowser (<id>): Status(Stat,2026-02-23 12:15:36.830476,Выполнение действия VariableOperations id: <id> группы действий id: <id> Переменная не число | System.FormatException: Входная строка имела ,продвинутый,78.3,13.50,"Регистрация/аккаунты / Соцсети; чаще работает с сайтами: grok.com, facebook.com, checkout.stripe.com",уверенно автоматизирует формы и DOM-события,чаще всего стопорится на: выполнение действия variableoperations id: <id> группы действий id: <id> переменная не число | system.formatexception: входная строка имела ,"Занимается: Регистрация/аккаунты / Соцсети. Основные сайты: grok.com, facebook.com, checkout.stripe.com. Стиль: точечно, небольшим числом проектов. Уровень: продвинутый."
255842a0-07ec-4bcb-a311-f42bf4866392,User 410,pro,6,7,4,2026-02-16 15:34:43.999973,2026-02-23 15:07:00,32.9,yes,quora.com,Регистрация/аккаунты,"Парсинг/валидация, Прокси/профили/эмуляция, Логика/ретраи, HTTP/API запросы",15.33,32,"Выполнение действия Profile id: <id> группы действий id: <id> Файла не существует по пути ""C:\Users\Administrator\Desktop\zenno\orders\eugen",2,"Выполнение действия Profile id: <id> группы действий id: <id> Файла не существует по пути ""C:\Users\Administrator\Desktop\zenno\orders\eugen",,"Выполнение действия Profile id: <id> группы действий id: <id> Файла не существует по пути ""C:\Users\Administrator\Desktop\zenno\orders\eugen",продвинутый,87.9,12.07,Регистрация/аккаунты; чаще работает с сайтами: quora.com,работает с прокси/профилями; подключает API/HTTP,"чаще всего стопорится на: выполнение действия profile id: <id> группы действий id: <id> файла не существует по пути ""c:\users\administrator\desktop\zenno\orders\eugen","Занимается: Регистрация/аккаунты. Основные сайты: quora.com. Стиль: точечно, небольшим числом проектов. Уровень: продвинутый."
5224a592-a956-4247-891f-3f8689fa6d8d,"User 462, User 54",pro,6,17,6,2026-02-18 09:16:10.824423,2026-02-24 04:48:00,19.2,no,"whoer.net, airbnb.com, gmail.com, webextension.org, accounts.google.com","Регистрация/аккаунты, Лидогенерация/арбитраж","Формы/клики/DOM, Навигация по сайтам, Прочие действия, Прокси/профили/эмуляция",40.33,37,Argument error,3,Running HtmlElement action id: <id> action group id: <id> An HTML element matching the search criteria hasn't been found,2026-02-18 15:10:15.507411,Argument error,продвинутый,81.7,13.00,"Регистрация/аккаунты / Лидогенерация/арбитраж; чаще работает с сайтами: whoer.net, airbnb.com, gmail.com",работает с прокси/профилями; уверенно автоматизирует формы и DOM-события,чаще всего стопорится на: argument error,"Занимается: Регистрация/аккаунты / Лидогенерация/арбитраж. Основные сайты: whoer.net, airbnb.com, gmail.com. Стиль: точечно, небольшим числом проектов. Уровень: продвинутый."
e2aa46a9-cce3-4dbf-a1c1-05720c1a7ae0,User 669,pro,6,1,2,2026-02-21 11:11:00,2026-02-22 13:40:44.410827,58.3,yes,"yandex.ru, accounts.google.com, greentechenergy.ru, chatgpt.com, auth.openai.com","Регистрация/аккаунты, Лидогенерация/арбитраж, Служебная автоматизация","Логика/ретраи, Формы/клики/DOM, Навигация по сайтам, Прокси/профили/эмуляция",27.00,65,Подпроект readability. Выполнение действия CSharp OwnCode: check required vars. id: <id> группы действий id: <id> подпроект path: C:\Users\А,7,Подпроект readability_example. Выполнение действия CSharp OwnCode: Exc. id: <id> группы действий id: <id> подпроект path: C:\Users\Администр,2026-02-21 18:08:16.968124,Подпроект readability. Выполнение действия CSharp OwnCode: check required vars. id: <id> группы действий id: <id> подпроект path: C:\Users\А,профессионал,60.3,14.50,"Регистрация/аккаунты / Лидогенерация/арбитраж; чаще работает с сайтами: yandex.ru, accounts.google.com, greentechenergy.ru",работает с прокси/профилями; уверенно автоматизирует формы и DOM-события,чаще всего стопорится на: подпроект readability. выполнение действия csharp owncode: check required vars. id: <id> группы действий id: <id> подпроект path: c:\users\а,"Занимается: Регистрация/аккаунты / Лидогенерация/арбитраж. Основные сайты: yandex.ru, accounts.google.com, greentechenergy.ru. Стиль: точечно, небольшим числом проектов. Уровень: профессионал."
2f258f79-0376-44c0-95ab-b264f5779ad5,User 10,pro,5,2,3,2026-02-21 04:44:00,2026-02-24 13:49:58.662925,10.2,no,"potok.tattelecom.ru, webagent.tattelecom.ru","Соцсети, Регистрация/аккаунты","Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы, Таблицы/Google Sheets",18.40,70,—,0,—,,итеративная отладка/стабильность,продвинутый,59.0,13.93,"Соцсети / Регистрация/аккаунты; чаще работает с сайтами: potok.tattelecom.ru, webagent.tattelecom.ru",подключает API/HTTP; ведет учет в таблицах; уверенно автоматизирует формы и DOM-события,много итераций на стабильность и доводку флоу,"Занимается: Соцсети / Регистрация/аккаунты. Основные сайты: potok.tattelecom.ru, webagent.tattelecom.ru. Стиль: точечно, небольшим числом проектов. Уровень: продвинутый."
1b55b492-1539-43e2-9a5a-724477ceaf27,User 183,pro,5,3,6,2026-02-17 16:10:00,2026-02-24 03:21:28.929305,20.6,no,"grok.com, rc.zennoposter.com",Соцсети,"Формы/клики/DOM, Парсинг/валидация, Логика/ретраи, Навигация по сайтам",27.60,59,—,0,—,,итеративная отладка/стабильность,продвинутый,65.8,13.35,"Соцсети; чаще работает с сайтами: grok.com, rc.zennoposter.com",уверенно автоматизирует формы и DOM-события,много итераций на стабильность и доводку флоу,"Занимается: Соцсети. Основные сайты: grok.com, rc.zennoposter.com. Стиль: точечно, небольшим числом проектов. Уровень: продвинутый."
f15f109a-27e3-4e31-9da7-ad8fcce914ef,User 226,pro,5,6,2,2026-02-17 13:30:00,2026-02-18 12:19:43.597064,155.7,yes,"insales.ru, yandex.ru",Регистрация/аккаунты,"Навигация по сайтам, Логика/ретраи, Формы/клики/DOM, Прочие действия",11.80,11,Парсинг страницы действия id: <id> группы действий id: <id> Не найдены элементы по заданным параметрам,4,Парсинг страницы действия id: <id> группы действий id: <id> Не найдены элементы по заданным параметрам,,Парсинг страницы действия id: <id> группы действий id: <id> Не найдены элементы по заданным параметрам,средний,77.2,6.01,"Регистрация/аккаунты; чаще работает с сайтами: insales.ru, yandex.ru",уверенно автоматизирует формы и DOM-события,чаще всего стопорится на: парсинг страницы действия id: <id> группы действий id: <id> не найдены элементы по заданным параметрам,"Занимается: Регистрация/аккаунты. Основные сайты: insales.ru, yandex.ru. Стиль: точечно, небольшим числом проектов. Уровень: средний."
04fc6b62-f22d-4400-8fe2-fa6d0eff32f1,User 231,pro,5,2,2,2026-02-23 08:08:59,2026-02-24 19:10:23,4.8,no,"otzivisotrudnikov.ru, vrachi-goroda.ru, sravni.ru, career.habr.com, sravni.id","Соцсети, Лидогенерация/арбитраж","Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы, Парсинг/валидация",9.20,40,Выполнение действия Http id: <id> группы действий id: <id> Превышен таймаут ResourceDownloader.GetResult. | System.Exception: Превышен тайма,2,Выполнение действия Http id: <id> группы действий id: <id> Превышен таймаут ResourceDownloader.GetResult. | System.Exception: Превышен тайма,2026-02-24 13:49:54.257852,Выполнение действия Http id: <id> группы действий id: <id> Превышен таймаут ResourceDownloader.GetResult. | System.Exception: Превышен тайма,продвинутый,72.4,11.09,"Соцсети / Лидогенерация/арбитраж; чаще работает с сайтами: otzivisotrudnikov.ru, vrachi-goroda.ru, sravni.ru",подключает API/HTTP; уверенно автоматизирует формы и DOM-события,чаще всего стопорится на: выполнение действия http id: <id> группы действий id: <id> превышен таймаут resourcedownloader.getresult. | system.exception: превышен тайма,"Занимается: Соцсети / Лидогенерация/арбитраж. Основные сайты: otzivisotrudnikov.ru, vrachi-goroda.ru, sravni.ru. Стиль: точечно, небольшим числом проектов. Уровень: продвинутый."
44b7ec44-fadb-4dc0-a47f-5925e3696b9e,User 262,pro,5,8,7,2026-02-17 18:12:57.142752,2026-02-24 21:13:47,2.8,no,"telegram.org, navigator-lxa.mail.com, group-ib.com, rucaptcha.com","Регистрация/аккаунты, Соцсети","Навигация по сайтам, Формы/клики/DOM, Логика/ретраи, Парсинг/валидация",15.00,44,—,0,—,,итеративная отладка/стабильность,продвинутый,80.0,13.25,"Регистрация/аккаунты / Соцсети; чаще работает с сайтами: telegram.org, navigator-lxa.mail.com, group-ib.com",уверенно автоматизирует формы и DOM-события,много итераций на стабильность и доводку флоу,"Занимается: Регистрация/аккаунты / Соцсети. Основные сайты: telegram.org, navigator-lxa.mail.com, group-ib.com. Стиль: точечно, небольшим числом проектов. Уровень: продвинутый."
b2f54548-8348-49ec-8e41-e134692459e4,User 292,pro,5,4,3,2026-02-22 09:41:38.971805,2026-02-24 10:35:57.145501,13.4,no,"classic.xterium.com, xterium.com, ru.xterium.com","Соцсети, Регистрация/аккаунты","HTTP/API запросы, Логика/ретраи, Формы/клики/DOM, Навигация по сайтам",20.40,49,—,0,—,,итеративная отладка/стабильность,продвинутый,64.8,13.95,"Соцсети / Регистрация/аккаунты; чаще работает с сайтами: classic.xterium.com, xterium.com, ru.xterium.com",подключает API/HTTP; уверенно автоматизирует формы и DOM-события,много итераций на стабильность и доводку флоу,"Занимается: Соцсети / Регистрация/аккаунты. Основные сайты: classic.xterium.com, xterium.com, ru.xterium.com. Стиль: точечно, небольшим числом проектов. Уровень: продвинутый."
57228ce0-dece-4e64-af27-80cbd1e15367,User 379,pro,5,7,6,2026-02-16 18:57:51.889356,2026-02-23 21:05:00,26.9,yes,,Лидогенерация/арбитраж,"Формы/клики/DOM, Логика/ретраи, Прокси/профили/эмуляция, Таблицы/Google Sheets",40.60,12,Взятие строки из таблицы действия id: <id> группы действий id: <id> Строки с номером не существует в таблице,1,Взятие строки из таблицы действия id: <id> группы действий id: <id> Строки с номером не существует в таблице,,Взятие строки из таблицы действия id: <id> группы действий id: <id> Строки с номером не существует в таблице,продвинутый,74.5,9.15,Лидогенерация/арбитраж; чаще работает с сайтами: без выраженных внешних доменов,работает с прокси/профилями; ведет учет в таблицах; уверенно автоматизирует формы и DOM-события,чаще всего стопорится на: взятие строки из таблицы действия id: <id> группы действий id: <id> строки с номером не существует в таблице,"Занимается: Лидогенерация/арбитраж. Основные сайты: без выраженных внешних доменов. Стиль: точечно, небольшим числом проектов. Уровень: продвинутый."
ba617eeb-6451-4bde-93e7-b81fb9df952d,User 419,pro,5,2,2,2026-02-23 08:42:00,2026-02-24 08:18:09,15.7,no,sportmaster.ru,"Регистрация/аккаунты, Лидогенерация/арбитраж","Формы/клики/DOM, Парсинг/валидация, Логика/ретраи, Таблицы/Google Sheets",2.80,61,Выполнение действия List id: <id> группы действий id: <id> Список пуст | System.Exception: Список пуст,3,Выполнение действия List id: <id> группы действий id: <id> Список пуст | System.Exception: Список пуст,,Выполнение действия List id: <id> группы действий id: <id> Список пуст | System.Exception: Список пуст,продвинутый,66.6,10.21,Регистрация/аккаунты / Лидогенерация/арбитраж; чаще работает с сайтами: sportmaster.ru,ведет учет в таблицах; уверенно автоматизирует формы и DOM-события,чаще всего стопорится на: выполнение действия list id: <id> группы действий id: <id> список пуст | system.exception: список пуст,"Занимается: Регистрация/аккаунты / Лидогенерация/арбитраж. Основные сайты: sportmaster.ru. Стиль: точечно, небольшим числом проектов. Уровень: продвинутый."
