domain,users_count,projects_count,what_users_do,top_themes
ru.wikipedia.org,8,38,"Навигация по сайтам, Формы/клики/DOM, Логика/ретраи","Регистрация/аккаунты, Соцсети"
hero-sms.com,7,38,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы","Лидогенерация/арбитраж, Регистрация/аккаунты"
outlook.live.com,7,28,"Формы/клики/DOM, Логика/ретраи, Навигация по сайтам","Регистрация/аккаунты, Соцсети"
vk.com,7,22,"Логика/ретраи, Формы/клики/DOM, Прокси/профили/эмуляция","Соцсети, Лидогенерация/арбитраж"
tiktok.com,6,145,"Навигация по сайтам, Формы/клики/DOM, Логика/ретраи","Соцсети, Лидогенерация/арбитраж"
grok.com,6,143,"Навигация по сайтам, Формы/клики/DOM, Логика/ретраи","Регистрация/аккаунты, Соцсети"
cloudflare-dns.com,6,78,"Прокси/профили/эмуляция, Навигация по сайтам, Формы/клики/DOM","Соцсети, Лидогенерация/арбитраж"
mail.google.com,6,52,"Навигация по сайтам, Формы/клики/DOM, Логика/ретраи","Лидогенерация/арбитраж, Регистрация/аккаунты"
telegra.ph,6,29,"Логика/ретраи, HTTP/API запросы, Парсинг/валидация","Регистрация/аккаунты, Соцсети"
bing.com,6,25,"Парсинг/валидация, HTTP/API запросы, Логика/ретраи","Соцсети, Регистрация/аккаунты"
discord.com,6,20,"Формы/клики/DOM, Логика/ретраи, Навигация по сайтам","Лидогенерация/арбитраж, Соцсети"
browserscan.net,5,84,"Формы/клики/DOM, Навигация по сайтам, Логика/ретраи","Соцсети, Регистрация/аккаунты"
mail.ru,5,67,"Формы/клики/DOM, Логика/ретраи, Навигация по сайтам","Регистрация/аккаунты, Соцсети"
browserleaks.com,5,59,"Навигация по сайтам, HTTP/API запросы, Логика/ретраи","Соцсети, Регистрация/аккаунты"
generativelanguage.googleapis.com,5,48,"Прокси/профили/эмуляция, Логика/ретраи, HTTP/API запросы","Регистрация/аккаунты, Лидогенерация/арбитраж"
pixelscan.net,5,46,"Формы/клики/DOM, Парсинг/валидация, Логика/ретраи","Соцсети, Регистрация/аккаунты"
avito.ru,5,22,"Навигация по сайтам, Формы/клики/DOM, Прокси/профили/эмуляция","E-commerce/маркетплейсы, Лидогенерация/арбитраж"
httpbin.org,4,175,"Формы/клики/DOM, Парсинг/валидация, Логика/ретраи","Лидогенерация/арбитраж, Регистрация/аккаунты"
myaccount.google.com,4,95,"Формы/клики/DOM, Навигация по сайтам, Парсинг/валидация","Google Sheets/отчетность, Лидогенерация/арбитраж"
arb.pubpower.io,4,87,"Навигация по сайтам, Формы/клики/DOM, Таблицы/Google Sheets",Регистрация/аккаунты
api.capmonster.cloud,4,67,"Навигация по сайтам, HTTP/API запросы, Прокси/профили/эмуляция","Лидогенерация/арбитраж, Соцсети"
chat.openai.com,4,54,"Навигация по сайтам, Формы/клики/DOM, Таблицы/Google Sheets","Лидогенерация/арбитраж, Соцсети"
generator.email,4,48,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация","Регистрация/аккаунты, Соцсети"
help.zennolab.com,4,48,"Навигация по сайтам, Логика/ретраи, Прокси/профили/эмуляция","Регистрация/аккаунты, Соцсети"
ipqualityscore.com,4,45,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация","Соцсети, Регистрация/аккаунты"
rucaptcha.com,4,41,"Логика/ретраи, Навигация по сайтам, HTTP/API запросы","Лидогенерация/арбитраж, Соцсети"
outlook.office.com,4,38,"Формы/клики/DOM, Логика/ретраи, Навигация по сайтам","Регистрация/аккаунты, Соцсети"
static.xx.fbcdn.net,4,27,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация","Соцсети, Лидогенерация/арбитраж"
gemini.google.com,4,25,"Парсинг/валидация, Прокси/профили/эмуляция, Логика/ретраи","Регистрация/аккаунты, Лидогенерация/арбитраж"
c.mail.ru,4,23,"Формы/клики/DOM, Логика/ретраи, Навигация по сайтам","Регистрация/аккаунты, Соцсети"
fonts.gstatic.com,4,21,"Логика/ретраи, Таблицы/Google Sheets, Парсинг/валидация","Лидогенерация/арбитраж, Соцсети"
fonts.googleapis.com,4,21,"Логика/ретраи, Таблицы/Google Sheets, Парсинг/валидация","Лидогенерация/арбитраж, Соцсети"
changeip.mobileproxy.space,4,21,"Логика/ретраи, Навигация по сайтам, Формы/клики/DOM","Google Sheets/отчетность, Регистрация/аккаунты"
microsoft.com,4,20,"Формы/клики/DOM, HTTP/API запросы, Парсинг/валидация","Соцсети, Регистрация/аккаунты"
2fa.fb.rip,4,20,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы","Соцсети, Лидогенерация/арбитраж"
chek.zennolab.com,4,12,"Формы/клики/DOM, Логика/ретраи, Навигация по сайтам","Соцсети, Лидогенерация/арбитраж"
gw.zengw.io,4,9,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация","Регистрация/аккаунты, Соцсети"
iprod.bitrix24.kz,3,143,"Формы/клики/DOM, HTTP/API запросы, Таблицы/Google Sheets","Регистрация/аккаунты, Соцсети"
capmonster.cloud,3,87,"Навигация по сайтам, Формы/клики/DOM, Прокси/профили/эмуляция","Регистрация/аккаунты, Лидогенерация/арбитраж"
116.202.85.94,3,81,"HTTP/API запросы, Парсинг/валидация, Прокси/профили/эмуляция","Регистрация/аккаунты, Соцсети"
dns.google,3,66,"Навигация по сайтам, Формы/клики/DOM, Таблицы/Google Sheets","Лидогенерация/арбитраж, Регистрация/аккаунты"
sketchfab.com,3,65,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация","Регистрация/аккаунты, Соцсети"
rutube.ru,3,60,"Навигация по сайтам, Формы/клики/DOM, Прокси/профили/эмуляция","Регистрация/аккаунты, Соцсети"
amazon.com,3,60,"Навигация по сайтам, Прокси/профили/эмуляция, Логика/ретраи","E-commerce/маркетплейсы, Соцсети"
app.corecluster.pro,3,48,"Навигация по сайтам, Формы/клики/DOM, Прокси/профили/эмуляция","Регистрация/аккаунты, Соцсети"
smshub.org,3,48,"Навигация по сайтам, HTTP/API запросы, Прокси/профили/эмуляция","Лидогенерация/арбитраж, Соцсети"
auth.openai.com,3,43,"Навигация по сайтам, Прокси/профили/эмуляция, Формы/клики/DOM","Лидогенерация/арбитраж, Регистрация/аккаунты"
api.tiger-sms.com,3,41,"Навигация по сайтам, HTTP/API запросы, Прокси/профили/эмуляция","Лидогенерация/арбитраж, Регистрация/аккаунты"
ipapi.co,3,35,"Формы/клики/DOM, Парсинг/валидация, Логика/ретраи","Регистрация/аккаунты, Лидогенерация/арбитраж"
showmyip.com,3,31,"Формы/клики/DOM, Парсинг/валидация, Логика/ретраи","Лидогенерация/арбитраж, Соцсети"
store.steampowered.com,3,28,"Навигация по сайтам, Формы/клики/DOM, Логика/ретраи","Регистрация/аккаунты, Лидогенерация/арбитраж"
steamcommunity.com,3,26,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация","Регистрация/аккаунты, Лидогенерация/арбитраж"
icanhazip.com,3,24,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация","Соцсети, Регистрация/аккаунты"
corecluster.pro,3,23,"HTTP/API запросы, Прокси/профили/эмуляция, Логика/ретраи","Регистрация/аккаунты, Лидогенерация/арбитраж"
gmx.com,3,18,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Соцсети
officialautoins.omoneytime.com,3,17,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Лидогенерация/арбитраж
insurmyauto.com,3,17,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Лидогенерация/арбитраж
click.znfb8.top,3,17,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Лидогенерация/арбитраж
zenno.club,3,17,"Навигация по сайтам, Формы/клики/DOM, Прокси/профили/эмуляция","Регистрация/аккаунты, Соцсети"
accounts.x.ai,3,16,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация","Соцсети, Регистрация/аккаунты"
go.cpatrafficpoint.ru,3,16,"Навигация по сайтам, Формы/клики/DOM, Таблицы/Google Sheets",Лидогенерация/арбитраж
pxl.leads.su,3,15,"Навигация по сайтам, Формы/клики/DOM, Таблицы/Google Sheets",Лидогенерация/арбитраж
site.com,3,15,"Формы/клики/DOM, Логика/ретраи, Навигация по сайтам","Лидогенерация/арбитраж, Регистрация/аккаунты"
ebay.com,3,14,"Навигация по сайтам, Прокси/профили/эмуляция, Логика/ретраи","Соцсети, E-commerce/маркетплейсы"
m.avito.ru,3,14,"Навигация по сайтам, Формы/клики/DOM, Прокси/профили/эмуляция","Лидогенерация/арбитраж, Регистрация/аккаунты"
2fa.live,3,14,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы","Лидогенерация/арбитраж, Соцсети"
pinterest.com,3,13,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы","Лидогенерация/арбитраж, Регистрация/аккаунты"
reddit.com,3,13,"Навигация по сайтам, Прокси/профили/эмуляция, Логика/ретраи","Соцсети, Регистрация/аккаунты"
fproxy.site,3,10,"Навигация по сайтам, Прокси/профили/эмуляция, Логика/ретраи","Соцсети, Регистрация/аккаунты"
cloudflare.com,3,10,"HTTP/API запросы, Парсинг/валидация, Логика/ретраи","Соцсети, Лидогенерация/арбитраж"
mobileproxy.space,3,8,"Логика/ретраи, Навигация по сайтам, Формы/клики/DOM","Регистрация/аккаунты, E-commerce/маркетплейсы"
github.com,3,8,"HTTP/API запросы, Логика/ретраи, Парсинг/валидация","Регистрация/аккаунты, Соцсети"
tmailor.com,3,7,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация","Регистрация/аккаунты, Google Sheets/отчетность"
dash.cloudflare.com,3,7,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы","Соцсети, Регистрация/аккаунты"
cdn.jsdelivr.net,3,7,"Логика/ретраи, HTTP/API запросы, Парсинг/валидация","Регистрация/аккаунты, Лидогенерация/арбитраж"
login.microsoftonline.com,3,7,"Формы/клики/DOM, HTTP/API запросы, Парсинг/валидация","Лидогенерация/арбитраж, Соцсети"
check2.zennolab.com,3,4,"Формы/клики/DOM, Навигация по сайтам, Парсинг/валидация","Соцсети, Лидогенерация/арбитраж"
auth.wikimedia.org,3,4,"Навигация по сайтам, Формы/клики/DOM, Прокси/профили/эмуляция",Регистрация/аккаунты
account.live.com,3,3,"Формы/клики/DOM, HTTP/API запросы, Парсинг/валидация","Соцсети, Регистрация/аккаунты"
threads.com,2,77,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Соцсети
utickets.app,2,74,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация","Лидогенерация/арбитраж, Регистрация/аккаунты"
api.gen-api.ru,2,63,"HTTP/API запросы, Парсинг/валидация, Логика/ретраи",Регистрация/аккаунты
moresms.net,2,61,"Навигация по сайтам, HTTP/API запросы, Прокси/профили/эмуляция","Лидогенерация/арбитраж, Соцсети"
sportybet.com,2,57,"Формы/клики/DOM, Парсинг/валидация, Логика/ретраи",Регистрация/аккаунты
api4.ipify.org,2,56,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Регистрация/аккаунты
coinbase.com,2,56,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Регистрация/аккаунты
web.whatsapp.com,2,54,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы","Соцсети, Лидогенерация/арбитраж"
paramountplus.com,2,53,"Формы/клики/DOM, Прокси/профили/эмуляция, Логика/ретраи","Лидогенерация/арбитраж, Регистрация/аккаунты"
quora.com,2,53,"Парсинг/валидация, Прокси/профили/эмуляция, Формы/клики/DOM",Регистрация/аккаунты
daisysms.com,2,43,"Формы/клики/DOM, HTTP/API запросы, Таблицы/Google Sheets","Лидогенерация/арбитраж, Соцсети"
google.ru,2,41,"Навигация по сайтам, Формы/клики/DOM, Прокси/профили/эмуляция","Регистрация/аккаунты, Соцсети"
scamalytics.com,2,41,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация","Лидогенерация/арбитраж, Регистрация/аккаунты"
smsbower.online,2,41,"Навигация по сайтам, HTTP/API запросы, Прокси/профили/эмуляция","Лидогенерация/арбитраж, Регистрация/аккаунты"
api.mail.tm,2,40,"Парсинг/валидация, Прокси/профили/эмуляция, Формы/клики/DOM","Соцсети, Регистрация/аккаунты"
proxycheck.io,2,40,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы","Соцсети, Лидогенерация/арбитраж"
api.kopeechka.store,2,38,"Навигация по сайтам, HTTP/API запросы, Прокси/профили/эмуляция","Лидогенерация/арбитраж, Соцсети"
studio.youtube.com,2,38,"Навигация по сайтам, Таблицы/Google Sheets, Парсинг/валидация","Соцсети, Регистрация/аккаунты"
65.109.68.29,2,37,"HTTP/API запросы, Логика/ретраи, Навигация по сайтам","Лидогенерация/арбитраж, Регистрация/аккаунты"
sms-activate.org,2,35,"Навигация по сайтам, HTTP/API запросы, Прокси/профили/эмуляция","Лидогенерация/арбитраж, Соцсети"
api.yescaptcha.com,2,35,"Формы/клики/DOM, Прокси/профили/эмуляция, HTTP/API запросы","Лидогенерация/арбитраж, Регистрация/аккаунты"
googletagmanager.com,2,34,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Лидогенерация/арбитраж
mexc.com,2,33,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Регистрация/аккаунты
api.capsolver.com,2,33,"Формы/клики/DOM, HTTP/API запросы, Парсинг/валидация","Лидогенерация/арбитраж, Соцсети"
ipwho.is,2,33,"Формы/клики/DOM, Парсинг/валидация, Логика/ретраи","Регистрация/аккаунты, Соцсети"
tickets.la28.org,2,33,"Навигация по сайтам, Прокси/профили/эмуляция, Формы/клики/DOM","Лидогенерация/арбитраж, Регистрация/аккаунты"
api.2captcha.com,2,32,"Формы/клики/DOM, HTTP/API запросы, Парсинг/валидация","Лидогенерация/арбитраж, Регистрация/аккаунты"
away.vk.com,2,31,"Навигация по сайтам, Формы/клики/DOM, Прокси/профили/эмуляция","Регистрация/аккаунты, Соцсети"
modelcenter.livejasmin.com,2,30,"Навигация по сайтам, Формы/клики/DOM, Прокси/профили/эмуляция",Регистрация/аккаунты
tempmail.plus,2,29,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы","Соцсети, Регистрация/аккаунты"
imgbb.com,2,29,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы","Регистрация/аккаунты, Соцсети"
yelp.com,2,24,"Навигация по сайтам, Формы/клики/DOM, Таблицы/Google Sheets","Регистрация/аккаунты, Лидогенерация/арбитраж"
teamcluster.click,2,21,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы","Регистрация/аккаунты, Соцсети"
mproxy.site,2,21,"Навигация по сайтам, Формы/клики/DOM, Прокси/профили/эмуляция",Регистрация/аккаунты
signup.live.com,2,18,"Навигация по сайтам, Прокси/профили/эмуляция, Логика/ретраи","Соцсети, Регистрация/аккаунты"
tumblr.com,2,18,"Навигация по сайтам, Формы/клики/DOM, Таблицы/Google Sheets","Регистрация/аккаунты, Google Sheets/отчетность"
trustpilot.com,2,18,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Соцсети
api.ip.sb,2,17,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Соцсети
1.1.1.1,2,17,"HTTP/API запросы, Прокси/профили/эмуляция, Логика/ретраи",Соцсети
app.decibel.trade,2,17,"Навигация по сайтам, Формы/клики/DOM, Таблицы/Google Sheets",Регистрация/аккаунты
streamreg.ru,2,16,"Навигация по сайтам, Формы/клики/DOM, Таблицы/Google Sheets",Лидогенерация/арбитраж
smartfinancial.xyz,2,16,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Лидогенерация/арбитраж
list.rola.info,2,16,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Лидогенерация/арбитраж
emu.bluedotfinance.com,2,16,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Лидогенерация/арбитраж
tudouemu.smartfinancial.xyz,2,16,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Лидогенерация/арбитраж
api.genderize.io,2,16,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Лидогенерация/арбитраж
1258.xyz,2,16,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Лидогенерация/арбитраж
randomus.ru,2,16,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы","Лидогенерация/арбитраж, Соцсети"
api.parsec.toolzar.ru,2,15,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Лидогенерация/арбитраж
188.127.224.5,2,15,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Лидогенерация/арбитраж
ifconfig.me,2,15,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы","Соцсети, Регистрация/аккаунты"
dailymotion.com,2,13,"Парсинг/валидация, HTTP/API запросы, Навигация по сайтам","Соцсети, Регистрация/аккаунты"
script.google.com,2,13,"Навигация по сайтам, Формы/клики/DOM, Прокси/профили/эмуляция","Лидогенерация/арбитраж, Регистрация/аккаунты"
staffjet.scaletrk.com,2,12,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Лидогенерация/арбитраж
seller.ozon.ru,2,12,"Навигация по сайтам, Формы/клики/DOM, Логика/ретраи","Регистрация/аккаунты, Соцсети"
ustawienia.poczta.onet.pl,2,11,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы","Лидогенерация/арбитраж, Соцсети"
squid.io,2,11,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Регистрация/аккаунты
youtu.be,2,11,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Регистрация/аккаунты
turbosquid.com,2,11,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Регистрация/аккаунты
i.ytimg,2,11,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Регистрация/аккаунты
yt3.ggpht,2,11,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Регистрация/аккаунты
apis.google,2,11,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Регистрация/аккаунты
auth.turbosquid.com,2,11,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Регистрация/аккаунты
ci3.googleusercontent.com,2,11,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Регистрация/аккаунты
speedtest.net,2,11,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы","Лидогенерация/арбитраж, Соцсети"
zennolab.com,2,11,"Прочие действия, Навигация по сайтам, Формы/клики/DOM","Лидогенерация/арбитраж, Соцсети"
prepaid.t-mobile.com,2,10,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Регистрация/аккаунты
checkip.amazonaws.com,2,10,"Формы/клики/DOM, Логика/ретраи, Навигация по сайтам",Соцсети
m.vk.com,2,10,"Навигация по сайтам, Формы/клики/DOM, Таблицы/Google Sheets",Регистрация/аккаунты
simsms.org,2,10,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Регистрация/аккаунты
chat.deepseek.com,2,10,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация","Соцсети, Регистрация/аккаунты"
light.mail.ru,2,9,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы","Лидогенерация/арбитраж, Регистрация/аккаунты"
chromewebstore.google.com,2,9,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы","Соцсети, Регистрация/аккаунты"
mail.rambler.ru,2,8,"Навигация по сайтам, Формы/клики/DOM, Таблицы/Google Sheets","Регистрация/аккаунты, Соцсети"
example.com,2,8,"Формы/клики/DOM, Парсинг/валидация, Логика/ретраи","Регистрация/аккаунты, Лидогенерация/арбитраж"
api.sms-activate.ae,2,8,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы","Лидогенерация/арбитраж, Соцсети"
raw.githubusercontent.com,2,8,"Парсинг/валидация, Логика/ретраи, HTTP/API запросы",Регистрация/аккаунты
clck.ru,2,7,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы","Соцсети, Лидогенерация/арбитраж"
cian.ru,2,7,"Навигация по сайтам, Формы/клики/DOM, Таблицы/Google Sheets","Регистрация/аккаунты, E-commerce/маркетплейсы"
2ip.io,2,7,"Навигация по сайтам, Формы/клики/DOM, Таблицы/Google Sheets","Регистрация/аккаунты, E-commerce/маркетплейсы"
temp-mail.io,2,6,"Навигация по сайтам, Логика/ретраи, Формы/клики/DOM",Регистрация/аккаунты
mp.smartfinancial.xyz,2,6,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Лидогенерация/арбитраж
aproxy.site,2,6,"Навигация по сайтам, Формы/клики/DOM, Таблицы/Google Sheets","Регистрация/аккаунты, E-commerce/маркетплейсы"
172.86.65.208,2,6,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Соцсети
cdnjs.cloudflare.com,2,6,"HTTP/API запросы, Парсинг/валидация, Логика/ретраи",Лидогенерация/арбитраж
2gis.ru,2,6,"Прочие действия, Навигация по сайтам, Формы/клики/DOM",Регистрация/аккаунты
dzen.ru,2,6,"Навигация по сайтам, Парсинг/валидация, Логика/ретраи","Регистрация/аккаунты, Лидогенерация/арбитраж"
gw-eu.zengw.io,2,5,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Регистрация/аккаунты
zealy.io,2,5,"Навигация по сайтам, Формы/клики/DOM, Таблицы/Google Sheets","Лидогенерация/арбитраж, Регистрация/аккаунты"
seo-fast.ru,2,5,"Навигация по сайтам, Прокси/профили/эмуляция, Логика/ретраи",Соцсети
leboncoin.fr,2,5,"Навигация по сайтам, Формы/клики/DOM, Прокси/профили/эмуляция",Регистрация/аккаунты
ext.captcha.yandex.net,2,5,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Регистрация/аккаунты
mandrillapp.com,2,5,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы","Соцсети, Регистрация/аккаунты"
issuu.com,2,4,"Навигация по сайтам, Логика/ретраи, Формы/клики/DOM",Регистрация/аккаунты
ereality.ru,2,4,"Навигация по сайтам, Формы/клики/DOM, Логика/ретраи",Регистрация/аккаунты
gridpanel.net,2,4,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы","Регистрация/аккаунты, Соцсети"
i.ytimg.com,2,4,"Формы/клики/DOM, Навигация по сайтам, Прокси/профили/эмуляция","Лидогенерация/арбитраж, Регистрация/аккаунты"
teletype.in,2,3,"Навигация по сайтам, Формы/клики/DOM, Таблицы/Google Sheets","Регистрация/аккаунты, Google Sheets/отчетность"
gmail.com,2,3,"Навигация по сайтам, Формы/клики/DOM, Логика/ретраи",Регистрация/аккаунты
api.rucaptcha.com,2,3,"Навигация по сайтам, HTTP/API запросы, Парсинг/валидация","Соцсети, Регистрация/аккаунты"
176.9.113.111,2,3,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы","Соцсети, Регистрация/аккаунты"
keep2share.cc,2,3,"Формы/клики/DOM, HTTP/API запросы, Парсинг/валидация",Регистрация/аккаунты
31.59.20.176,2,3,"Логика/ретраи, Навигация по сайтам, Формы/клики/DOM",Соцсети
res.cloudinary.com,2,3,"Навигация по сайтам, Формы/клики/DOM, Таблицы/Google Sheets","Лидогенерация/арбитраж, Google Sheets/отчетность"
cpa.kuper.ru,2,3,"Навигация по сайтам, Формы/клики/DOM, Прокси/профили/эмуляция","Регистрация/аккаунты, Лидогенерация/арбитраж"
atlantic.pharosscan.xyz,2,3,"Логика/ретраи, Навигация по сайтам, Формы/клики/DOM",Лидогенерация/арбитраж
trends.google.com,2,3,"Навигация по сайтам, Формы/клики/DOM, Прокси/профили/эмуляция",Регистрация/аккаунты
zakupki.gov.ru,2,3,"Навигация по сайтам, Прокси/профили/эмуляция, Прочие действия","Регистрация/аккаунты, Лидогенерация/арбитраж"
account.mail.ru,2,3,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Регистрация/аккаунты
docs.microsoft.com,2,3,"Прокси/профили/эмуляция, Логика/ретраи, HTTP/API запросы","Соцсети, Регистрация/аккаунты"
letterboxd.com,2,2,"Навигация по сайтам, Прокси/профили/эмуляция, Логика/ретраи",Регистрация/аккаунты
mobile-ww.lightningproxies.net,2,2,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Соцсети
res-eu.lightningproxies.net,2,2,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Соцсети
pr.lunaproxy.com,2,2,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Соцсети
premiumresidential.sigmaproxies.com,2,2,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Соцсети
