error_category,events_count,users_count,example_message
Выполнение логического оператора If действия id: <id> группы действий id: <id> Результат: undefined,2,1,Выполнение логического оператора If действия id: 93327086-ab30-43f4-86bb-0f791bc3c2f3 группы действий id: a24d0df7-5dee-4d12-adf0-e5fdf1757c6e Результат: undefined | Выполнение логического оператора If действия id: 93327086-ab30-43f4-86bb-0f791bc3c2f3 группы действий id: a24d0df7-5dee-4d12-adf0-e5fdf1757c6e Результат: undefined
"Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> [Строка: 23; Cтолбец: 0] Не удалось загрузить файл или сборку ""Renci.S",2,1,"Выполнение действия CSharp OwnCode. id: 763efaac-8b1a-438d-93f3-92f1cc99c2b0 группы действий id: 71cbd4ae-a550-474f-8099-fa9c96d1302f [Строка: 23; Cтолбец: 0] Не удалось загрузить файл или сборку ""Renci.SshNet, Version=2 | Выполнение действия CSharp OwnCode. id: 763efaac-8b1a-438d-93f3-92f1cc99c2b0 группы действий id: 71cbd4ae-a550-474f-8099-fa9c96d1302f [Строка: 23; Cтолбец: 0] Не удалось загрузить файл или сборку ""Renci.SshNet, Version=2"
执行动作C#自定义代码: FilterState2.id: <id> 动作组 id: <id> [行: 6; 列: 0] invalid state | System.Exception: invalid state,2,1,"执行动作C#自定义代码: FilterState2.id: 8b24ffa2-fd5f-44c5-ad95-63a7c0a3a5d9 动作组 id: 195810ea-28b0-4ad1-b46d-d781778d818e [行: 6; 列: 0] invalid state | System.Exception: invalid state
   at ZennoLab.OwnCode.C8b24ffa2fd5f44c5ad9563 | 执行动作C#自定义代码: FilterState2.id: 8b24ffa2-fd5f-44c5-ad95-63a7c0a3a5d9 动作组 id: 195810ea-28b0-4ad1-b46d-d781778d818e [行: 6; 列: 0] invalid state | System.Exception: invalid state
   at ZennoLab.OwnCode.C8b24ffa2fd5f44c5ad9563"
Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> Недостаточно памяти. | System.OutOfMemoryException: Недостаточно памят,2,1,"Выполнение действия CSharp OwnCode. id: f22e951e-1070-46f7-a078-3b8dace93030 группы действий id: b12d267d-3901-438d-9c21-4e75febd8caa Недостаточно памяти. | System.OutOfMemoryException: Недостаточно памяти.
   в System. | Выполнение действия CSharp OwnCode. id: f22e951e-1070-46f7-a078-3b8dace93030 группы действий id: b12d267d-3901-438d-9c21-4e75febd8caa Недостаточно памяти. | System.OutOfMemoryException: Недостаточно памяти.
   в System."
Subproject customPages. Executing the ProjectInProject action id: <id> action group id: <id> subproject path: C:\Users\gaabs\Documents\zenno,2,1,Subproject customPages. Executing the ProjectInProject action id: a1dea21e-4a6f-440c-bb78-5aa3613926e9 action group id: 84918396-0c2c-4b98-9e49-e665c26c5f58 subproject path: C:\Users\gaabs\Documents\zennoPoster\refactor\ | Subproject customPages. Executing the ProjectInProject action id: a1dea21e-4a6f-440c-bb78-5aa3613926e9 action group id: 84918396-0c2c-4b98-9e49-e665c26c5f58 subproject path: C:\Users\gaabs\Documents\zennoPoster\refactor\
Subproject easycommissionfunnel. Running HtmlElement action id: <id> action group id: <id> subproject path: C:\Users\gaabs\Documents\zennoPo,2,1,Subproject easycommissionfunnel. Running HtmlElement action id: 5f7382b0-95a0-46ae-971f-796d4d4243ed action group id: 21109d6e-6a50-424c-a0fe-21fdef6fd0d8 subproject path: C:\Users\gaabs\Documents\zennoPoster\refactor\ea | Subproject easycommissionfunnel. Running HtmlElement action id: 5f7382b0-95a0-46ae-971f-796d4d4243ed action group id: 21109d6e-6a50-424c-a0fe-21fdef6fd0d8 subproject path: C:\Users\gaabs\Documents\zennoPoster\refactor\ea
Subproject vulcan21966. Parsing the page action id: <id> action group id: <id> subproject path: C:\Users\gaabs\Documents\zennoPoster\refacto,2,1,Subproject vulcan21966. Parsing the page action id: 0210a070-c04e-42e1-8da7-619436dfd051 action group id: 3226787f-c605-4f53-ad75-c809463cbbeb subproject path: C:\Users\gaabs\Documents\zennoPoster\refactor\vulcan21966.zp | Subproject vulcan21966. Parsing the page action id: 0210a070-c04e-42e1-8da7-619436dfd051 action group id: 3226787f-c605-4f53-ad75-c809463cbbeb subproject path: C:\Users\gaabs\Documents\zennoPoster\refactor\vulcan21966.zp
Subproject paulharvie. Parsing the page action id: <id> action group id: <id> subproject path: C:\Users\gaabs\Documents\zennoPoster\refactor,2,1,Subproject paulharvie. Parsing the page action id: b6378fc3-680a-4bc8-917a-f00418947001 action group id: 3dd69c85-a6a3-4c00-9b67-758b6f49a8f1 subproject path: C:\Users\gaabs\Documents\zennoPoster\refactor\paulharvie.zp N | Subproject paulharvie. Parsing the page action id: b6378fc3-680a-4bc8-917a-f00418947001 action group id: 3dd69c85-a6a3-4c00-9b67-758b6f49a8f1 subproject path: C:\Users\gaabs\Documents\zennoPoster\refactor\paulharvie.zp N
Subproject leadhero. Parsing the page action id: <id> action group id: <id> subproject path: C:\Users\gaabs\Documents\zennoPoster\refactor\l,2,1,Subproject leadhero. Parsing the page action id: a87949be-f655-4027-8bde-d4b4a27df767 action group id: 0097acd1-859f-4807-81a8-30f845a4cd4e subproject path: C:\Users\gaabs\Documents\zennoPoster\refactor\leadhero.zp No el | Subproject leadhero. Parsing the page action id: a87949be-f655-4027-8bde-d4b4a27df767 action group id: 0097acd1-859f-4807-81a8-30f845a4cd4e subproject path: C:\Users\gaabs\Documents\zennoPoster\refactor\leadhero.zp No el
Subproject copythepro. Parsing the page action id: <id> action group id: <id> subproject path: C:\Users\gaabs\Documents\zennoPoster\refactor,2,1,Subproject copythepro. Parsing the page action id: f1716836-475c-415b-b74d-c261e19acda7 action group id: 0097acd1-859f-4807-81a8-30f845a4cd4e subproject path: C:\Users\gaabs\Documents\zennoPoster\refactor\copythepro.zp N | Subproject copythepro. Parsing the page action id: f1716836-475c-415b-b74d-c261e19acda7 action group id: 0097acd1-859f-4807-81a8-30f845a4cd4e subproject path: C:\Users\gaabs\Documents\zennoPoster\refactor\copythepro.zp N
Subproject superAffiliate(goal). Running HtmlElement action id: <id> action group id: <id> subproject path: C:\Users\gaabs\Documents\zennoPo,2,1,Subproject superAffiliate(goal). Running HtmlElement action id: ad7018db-3ad3-4b33-8375-aba682f11c16 action group id: 80faa755-4e33-4836-9009-f5686a91169f subproject path: C:\Users\gaabs\Documents\zennoPoster\refactor\su | Subproject superAffiliate(goal). Running HtmlElement action id: ad7018db-3ad3-4b33-8375-aba682f11c16 action group id: 80faa755-4e33-4836-9009-f5686a91169f subproject path: C:\Users\gaabs\Documents\zennoPoster\refactor\su
Subproject FreedomBlueprint. Running HtmlElement action id: <id> action group id: <id> subproject path: C:\Users\gaabs\Documents\zennoPoster,2,1,Subproject FreedomBlueprint. Running HtmlElement action id: db466a33-1b77-4abb-96a4-a5b0fea26326 action group id: ae1c3d86-f5b4-41b1-a06c-f654b45d9ff4 subproject path: C:\Users\gaabs\Documents\zennoPoster\refactor\Freedo | Subproject FreedomBlueprint. Running HtmlElement action id: db466a33-1b77-4abb-96a4-a5b0fea26326 action group id: ae1c3d86-f5b4-41b1-a06c-f654b45d9ff4 subproject path: C:\Users\gaabs\Documents\zennoPoster\refactor\Freedo
Выполнение действия CSharp OwnCode: ждем пока файл CSV освободится. id: <id> группы действий id: <id> Поток находился в процессе прерывания.,2,1,Выполнение действия CSharp OwnCode: ждем пока файл CSV освободится. id: 9a50ae17-dd70-4df7-9579-71dbf0a10e33 группы действий id: 2f3890b2-0f62-451f-85e1-b56dd7b63ae1 Поток находился в процессе прерывания. | System.Thread | Выполнение действия CSharp OwnCode: ждем пока файл CSV освободится. id: 9a50ae17-dd70-4df7-9579-71dbf0a10e33 группы действий id: 2f3890b2-0f62-451f-85e1-b56dd7b63ae1 Поток находился в процессе прерывания. | System.Thread
Выполнение программы C:\mobirise-automation\mobirise.bat действия id: <id> группы действий id: <id> Результат: <n>,2,1,Выполнение программы C:\mobirise-automation\mobirise.bat действия id: e983bbb1-2284-4a23-b5dc-050ba48d521f группы действий id: cc44f1df-d439-47bc-8c1b-1aea962fc390 Результат: 9009 | Выполнение программы C:\mobirise-automation\mobirise.bat действия id: e983bbb1-2284-4a23-b5dc-050ba48d521f группы действий id: cc44f1df-d439-47bc-8c1b-1aea962fc390 Результат: 9009
Perform the JavaScript OwnCode action id: <id> action group id: <id> EvaluateScriptAsync: Uncaught SyntaxError: Unexpected token ':' | Syste,2,1,Perform the JavaScript OwnCode action id: cffd1040-b633-4ee8-a31b-6562dd253c10 action group id: 8329f9a4-5d57-49e2-a819-129e8fe06966 EvaluateScriptAsync: Uncaught SyntaxError: Unexpected token ':' | System.Exception: Eva | Perform the JavaScript OwnCode action id: cffd1040-b633-4ee8-a31b-6562dd253c10 action group id: 8329f9a4-5d57-49e2-a819-129e8fe06966 EvaluateScriptAsync: Uncaught SyntaxError: Unexpected token ':' | System.Exception: Eva
Parsing the page action id: <id> action group id: <id> No elements matching the specified parameters,2,1,Parsing the page action id: f66dfd46-61bd-4e8d-ab03-59bef2d6d98b action group id: d3c4d01a-bc2e-4c69-bc56-13b220a14b83 No elements matching the specified parameters | Parsing the page action id: f66dfd46-61bd-4e8d-ab03-59bef2d6d98b action group id: d3c4d01a-bc2e-4c69-bc56-13b220a14b83 No elements matching the specified parameters
Выполнение действия WebBrowserTabManagement id: <id> группы действий id: <id> Не нашли вкладку popup-1 в инстансе. Инстанс <n>:<n>.0.0.1 | S,2,1,Выполнение действия WebBrowserTabManagement id: ca10111f-4349-41c7-b291-d0352b811289 группы действий id: 9ac484c7-8641-473a-8d0e-0e91b5e57303 Не нашли вкладку popup-1 в инстансе. Инстанс 50606:127.0.0.1 | System.Exceptio | Выполнение действия WebBrowserTabManagement id: 0a22f842-70a1-4270-8778-907ee0621f86 группы действий id: cd809925-c7c0-4e59-810a-0d3422203862 Не нашли вкладку popup-1 в инстансе. Инстанс 50606:127.0.0.1 | System.Exceptio
Выполнение действия TextProcessing id: <id> группы действий id: <id> Входная строка имела неверный формат. | System.FormatException: Входная,2,1,Выполнение действия TextProcessing id: c2c01fc7-ed64-4821-80d5-d433b0db452a группы действий id: 4b83446f-1fa5-49ab-8983-4c4e7f710083 Входная строка имела неверный формат. | System.FormatException: Входная строка имела не | Выполнение действия TextProcessing id: c2c01fc7-ed64-4821-80d5-d433b0db452a группы действий id: 4b83446f-1fa5-49ab-8983-4c4e7f710083 Входная строка имела неверный формат. | System.FormatException: Входная строка имела не
"Поиск текста на странице действия id: <id> группы действий id: <id> Не найден, Url: https://x.com/RoundtableSpace/status/<n>?s=20, Regex: \{",2,1,"Поиск текста на странице действия id: a0f950df-cade-496e-837c-06ac3e19722b группы действий id: 5bd8cbb6-8243-438f-98cd-07efeb0922a5 Не найден, Url: https://x.com/RoundtableSpace/status/2025537302479388795?s=20, Regex: \{ | Поиск текста на странице действия id: a0f950df-cade-496e-837c-06ac3e19722b группы действий id: 5bd8cbb6-8243-438f-98cd-07efeb0922a5 Не найден, Url: https://x.com/RoundtableSpace/status/2025537302479388795?s=20, Regex: \{"
Выполнение действия CSharp OwnCode: connectarb. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | System.Threading.,2,1,Выполнение действия CSharp OwnCode: connectarb. id: 383759cf-38f7-4cac-bdc6-c9a9d312fe0b группы действий id: 2286a8fe-7cd3-44c0-9a9c-721cf199f774 Поток находился в процессе прерывания. | System.Threading.ThreadAbortExcep | Выполнение действия CSharp OwnCode: connectarb. id: 383759cf-38f7-4cac-bdc6-c9a9d312fe0b группы действий id: 2286a8fe-7cd3-44c0-9a9c-721cf199f774 Поток находился в процессе прерывания. | System.Threading.ThreadAbortExcep
Выполнение действия Table id: <id> группы действий id: <id> No such list: | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariableException,2,1,Выполнение действия Table id: 05c33c18-4fd2-4b1a-9b27-cc916c761f3b группы действий id: 3cc67e72-5b43-4db9-bbdc-053ff23307d6 No such list: | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariableException: No such list:  | Выполнение действия Table id: 05c33c18-4fd2-4b1a-9b27-cc916c761f3b группы действий id: 3cc67e72-5b43-4db9-bbdc-053ff23307d6 No such list: | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariableException: No such list: 
Выполнение действия Table id: <id> группы действий id: <id> No such spreadsheet: | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariableEx,2,1,Выполнение действия Table id: 01becb5c-b530-4661-a193-eda3f73292ea группы действий id: 31a9f7b1-b813-47b3-85bf-61034972f9b1 No such spreadsheet: | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariableException: No such | Выполнение действия Table id: 01becb5c-b530-4661-a193-eda3f73292ea группы действий id: 31a9f7b1-b813-47b3-85bf-61034972f9b1 No such spreadsheet: | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariableException: No such
Выполнение программы C:\Program Files (x86)\ePochta\ePochta Mailer\ePochtaMailer.exe действия id: <id> группы действий id: <id> Результат: -,2,1,Выполнение программы C:\Program Files (x86)\ePochta\ePochta Mailer\ePochtaMailer.exe действия id: ae3f615a-1b8c-4251-b367-42353ad00e77 группы действий id: 4e2ed299-314c-411f-a3ef-b169789f39c2 Результат: -1 | Выполнение программы C:\Program Files (x86)\ePochta\ePochta Mailer\ePochtaMailer.exe действия id: ae3f615a-1b8c-4251-b367-42353ad00e77 группы действий id: 4e2ed299-314c-411f-a3ef-b169789f39c2 Результат: -1
执行项目中的动作id:<id> 动作组id<id> 插件位置：C:\Users\Administrator\Documents\ZennoLab\Plugins\Local\插件_plugin.zpg 未找到 | System.IO.FileLoadException: 插件位置,2,1,执行项目中的动作id:22bd07a6-17d5-4e1e-88e8-a795da365726 动作组ida3639aa4-0564-4d9d-9ec7-ca0ac0c36146 插件位置：C:\Users\Administrator\Documents\ZennoLab\Plugins\Local\插件_plugin.zpg 未找到 | System.IO.FileLoadException: 插件位置：C:\Users\Admini | 执行项目中的动作id:22bd07a6-17d5-4e1e-88e8-a795da365726 动作组ida3639aa4-0564-4d9d-9ec7-ca0ac0c36146 插件位置：C:\Users\Administrator\Documents\ZennoLab\Plugins\Local\插件_plugin.zpg 未找到 | System.IO.FileLoadException: 插件位置：C:\Users\Admini
执行插件动作 id: <id> 分组id: <id> 处理插件失败浏览器设置操作错误：<id>,2,1,执行插件动作 id: 43add94c-9fe6-4f10-afdc-a5cebe4583bc 分组id: 2b9fbd00-614c-4057-999e-59a1602506c2 处理插件失败浏览器设置操作错误：264d2068-94a4-4c22-94ce-60e8d35270ab | 执行插件动作 id: e9212768-b922-4d10-8cc8-b7ca7e6f3abc 分组id: d9b66cf8-df97-41c4-9f67-dd1992780c9b 处理插件失败浏览器设置操作错误：065d2189-d88c-421a-ab5a-c548e3a99e1b
Выполнение действия CSharp OwnCode: API: Проверка наличие компонентов. id: <id> группы действий id: <id> [Строка: 74; Cтолбец: 4] Ошибка: Si,2,1,Выполнение действия CSharp OwnCode: API: Проверка наличие компонентов. id: 4715e54c-c22b-44ca-9dfe-f234b9caed64 группы действий id: c5650b3a-c5e0-49c7-b84e-34d21e048455 [Строка: 74; Cтолбец: 4] Ошибка: Site ID не найден. | Выполнение действия CSharp OwnCode: API: Проверка наличие компонентов. id: 4715e54c-c22b-44ca-9dfe-f234b9caed64 группы действий id: c5650b3a-c5e0-49c7-b84e-34d21e048455 [Строка: 74; Cтолбец: 4] Ошибка: Site ID не найден.
Выполнение действия CSharp OwnCode: POST к Claude API. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | System.Thr,2,1,Выполнение действия CSharp OwnCode: POST к Claude API. id: 5166a489-e017-45e9-98ea-c60ccd6008f0 группы действий id: 49c8b81c-c2e5-4e27-8f17-90b32829be69 Поток находился в процессе прерывания. | System.Threading.ThreadAbo | Выполнение действия CSharp OwnCode: POST к Claude API. id: 5166a489-e017-45e9-98ea-c60ccd6008f0 группы действий id: 49c8b81c-c2e5-4e27-8f17-90b32829be69 Поток находился в процессе прерывания. | System.Threading.ThreadAbo
Выполнение действия CSharp OwnCode: Извлечение. id: <id> группы действий id: <id> No such variable: css | ZennoLab.TemplateManipulator.V4.He,2,1,Выполнение действия CSharp OwnCode: Извлечение. id: 0db9e671-f28f-4da7-b0db-a68ae76ffce9 группы действий id: 96ae28d5-7f48-4fa7-8f08-f61d728f66bd No such variable: css | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVar | Выполнение действия CSharp OwnCode: Извлечение. id: 0db9e671-f28f-4da7-b0db-a68ae76ffce9 группы действий id: 96ae28d5-7f48-4fa7-8f08-f61d728f66bd No such variable: css | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVar
"Выполнение действия Profile id: <id> группы действий id: <id> Файла не существует по пути ""C:\Users\Administrator\Desktop\zenno\orders\eugen",2,1,"Выполнение действия Profile id: 32887e12-3de3-4023-ad6c-ea80ccbae893 группы действий id: 91136827-90ea-4da2-bd16-e10bbb6eaf0a Файла не существует по пути ""C:\Users\Administrator\Desktop\zenno\orders\eugenioiudin\quora.co | Выполнение действия Profile id: 32887e12-3de3-4023-ad6c-ea80ccbae893 группы действий id: 91136827-90ea-4da2-bd16-e10bbb6eaf0a Файла не существует по пути ""C:\Users\Administrator\Desktop\zenno\orders\eugenioiudin\quora.co"
Выполнение действия ParsePage id: <id> группы действий id: <id> Unexpected token {Char} where {Ident} was expected. | System.FormatException,2,1,Выполнение действия ParsePage id: 8fe4f8a8-2cb3-461e-9fc3-c5e0029a177b группы действий id: 72038ff6-5838-45af-81ac-380a2c8ae9b8 Unexpected token {Char} where {Ident} was expected. | System.FormatException: Unexpected tok | Выполнение действия ParsePage id: 8fe4f8a8-2cb3-461e-9fc3-c5e0029a177b группы действий id: 72038ff6-5838-45af-81ac-380a2c8ae9b8 Unexpected token {Char} where {Ident} was expected. | System.FormatException: Unexpected tok
Executing action CSharp OwnCode: Parse Filler Lines.id: <id> action group id: <id> Thread was being aborted. | System.Threading.ThreadAbortE,2,1,Executing action CSharp OwnCode: Parse Filler Lines.id: 78c332f3-0267-4145-9417-f2c9c193e200 action group id: ab1a408b-3ecc-4137-af84-5ef908a79651 Thread was being aborted. | System.Threading.ThreadAbortException: Thread | Executing action CSharp OwnCode: Parse Filler Lines.id: 78c332f3-0267-4145-9417-f2c9c193e200 action group id: ab1a408b-3ecc-4137-af84-5ef908a79651 Thread was being aborted. | System.Threading.ThreadAbortException: Thread
"Searching text on a page action id: <id>of action group id: <id> 未发现, Url: https://tsugaike.nippon-ski.com/ja/checkout/#payment, Regex: 名義人\",2,1,"Searching text on a page action id: 06f033ca-29a0-4d35-8b4e-de812685851fof action group id: 09ea312f-1f08-489c-82db-92af2adec786 未发现, Url: https://tsugaike.nippon-ski.com/ja/checkout/#payment, Regex: 名義人\s+ | Searching text on a page action id: 06f033ca-29a0-4d35-8b4e-de812685851fof action group id: 09ea312f-1f08-489c-82db-92af2adec786 未发现, Url: https://tsugaike.nippon-ski.com/ja/checkout/#payment, Regex: 名義人\s+"
执行动作 Db id: <id> 在动作组中: <id> Unknown column 'OID0' in 'where clause' | MySql.Data.MySqlClient.MySqlException (0x80004005): Unknown column 'O,2,1,执行动作 Db id: 7299e185-c055-42f8-ae32-5c2ee09b95e2 在动作组中: 2d040fb2-538d-4f71-ae75-0ed82e2cf1bd Unknown column 'OID0' in 'where clause' | MySql.Data.MySqlClient.MySqlException (0x80004005): Unknown column 'OID0' in 'where c | 执行动作 Db id: 7299e185-c055-42f8-ae32-5c2ee09b95e2 在动作组中: 2d040fb2-538d-4f71-ae75-0ed82e2cf1bd Unknown column 'OID0' in 'where clause' | MySql.Data.MySqlClient.MySqlException (0x80004005): Unknown column 'OID0' in 'where c
"运行 HTTP 动作id<id> 动作组id<id> 该代理格式不正确: ""<n>-b94c3421-US_Texas-session-vA1L26Ao-life-1h"" | System.Exception: 该代理格式不正确: ""<n>-b94c3421-US_Texas-s",2,1,"运行 HTTP 动作id6ad207ab-617c-48aa-856b-d548d0cd2265 动作组idfcc653f7-f4dc-433f-901a-ff8aaead4ec9 该代理格式不正确: ""8221009-b94c3421-US_Texas-session-vA1L26Ao-life-1h"" | System.Exception: 该代理格式不正确: ""8221009-b94c3421-US_Texas-session-v | 运行 HTTP 动作id6ad207ab-617c-48aa-856b-d548d0cd2265 动作组idfcc653f7-f4dc-433f-901a-ff8aaead4ec9 该代理格式不正确: ""8221009-b94c3421-US_Texas-session-vA1L26Ao-life-1h"" | System.Exception: 该代理格式不正确: ""8221009-b94c3421-US_Texas-session-v"
执行动作 Db id: <id> 在动作组中: <id> Table 'zzbd330.offersstate' doesn't exist | MySql.Data.MySqlClient.MySqlException (0x80004005): Table 'zzbd330.,2,1,执行动作 Db id: 73313d1a-e10f-4805-949b-30fc45fcb106 在动作组中: fcc653f7-f4dc-433f-901a-ff8aaead4ec9 Table 'zzbd330.offersstate' doesn't exist | MySql.Data.MySqlClient.MySqlException (0x80004005): Table 'zzbd330.offersstate' doe | 执行动作 Db id: 73313d1a-e10f-4805-949b-30fc45fcb106 在动作组中: fcc653f7-f4dc-433f-901a-ff8aaead4ec9 Table 'zzbd330.offersstate' doesn't exist | MySql.Data.MySqlClient.MySqlException (0x80004005): Table 'zzbd330.offersstate' doe
"运行 HTTP 动作id<id> 动作组id<id> 该代理格式不正确: ""<n>-b94c3421-US_-session-6F3tqAbY-life-1h"" | System.Exception: 该代理格式不正确: ""<n>-b94c3421-US_-session-6F3",2,1,"运行 HTTP 动作id6ad207ab-617c-48aa-856b-d548d0cd2265 动作组idfcc653f7-f4dc-433f-901a-ff8aaead4ec9 该代理格式不正确: ""8221009-b94c3421-US_-session-6F3tqAbY-life-1h"" | System.Exception: 该代理格式不正确: ""8221009-b94c3421-US_-session-6F3tqAbY-li | 运行 HTTP 动作id6ad207ab-617c-48aa-856b-d548d0cd2265 动作组idfcc653f7-f4dc-433f-901a-ff8aaead4ec9 该代理格式不正确: ""8221009-b94c3421-US_-session-6F3tqAbY-life-1h"" | System.Exception: 该代理格式不正确: ""8221009-b94c3421-US_-session-6F3tqAbY-li"
"运行WebBrowserTabManagment 动作id<id> 动作组id<id> 在实例中标签2没有找到,实例50606:<n>.0.0.1 | System.Exception: 在实例中标签2没有找到,实例50606:<n>.0.0.1",2,1,"运行WebBrowserTabManagment 动作idad351f45-7066-4e72-a9f7-b1c1867d6344 动作组id957cc0bb-d333-482d-90a9-a999d0a04ee3 在实例中标签2没有找到,实例50606:127.0.0.1 | System.Exception: 在实例中标签2没有找到,实例50606:127.0.0.1
   at ZennoLab.ZennoPoster.Core | 运行WebBrowserTabManagment 动作idad351f45-7066-4e72-a9f7-b1c1867d6344 动作组id957cc0bb-d333-482d-90a9-a999d0a04ee3 在实例中标签2没有找到,实例50606:127.0.0.1 | System.Exception: 在实例中标签2没有找到,实例50606:127.0.0.1
   at ZennoLab.ZennoPoster.Core"
"Поиск текста на странице действия id: <id> группы действий id: <id> Не найден, Url: https://www.gayxnow.com/upload-video/, Regex: Thank\s+yo",2,1,"Поиск текста на странице действия id: 6f1e51ac-894c-4c35-af5d-829fa85fd5bd группы действий id: 138457dc-f078-4b27-bad0-b9a4d982b799 Не найден, Url: https://www.gayxnow.com/upload-video/, Regex: Thank\s+you!\s+Video\s+has | Поиск текста на странице действия id: 6f1e51ac-894c-4c35-af5d-829fa85fd5bd группы действий id: 138457dc-f078-4b27-bad0-b9a4d982b799 Не найден, Url: https://www.gayxnow.com/upload-video/, Regex: Thank\s+you!\s+Video\s+has"
Выполнение действия HtmlElement id: <id> группы действий id: <id> No such variable: Tag | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVar,2,1,Выполнение действия HtmlElement id: 58a3c6f3-1680-4d90-a89e-ce8693321a9d группы действий id: cdcefc4e-c2ca-455c-a481-c081d3cd998e No such variable: Tag | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariableException:  | Выполнение действия HtmlElement id: 58a3c6f3-1680-4d90-a89e-ce8693321a9d группы действий id: cdcefc4e-c2ca-455c-a481-c081d3cd998e No such variable: Tag | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariableException: 
Выполнение программы C:\Users\ilya.krabik\zenno_poster\chat_gpt_for_images\\scripts\replace_images_key.bat действия id: <id> группы действий,2,1,Выполнение программы C:\Users\ilya.krabik\zenno_poster\chat_gpt_for_images\\scripts\replace_images_key.bat действия id: 682b54b0-a9a2-4f47-9fd8-8ae0915c27e1 группы действий id: 4632bb3a-7f8c-49f6-8299-1cbbf27cf3a1 Резуль | Выполнение программы C:\Users\ilya.krabik\zenno_poster\chat_gpt_for_images\\scripts\replace_images_key.bat действия id: 682b54b0-a9a2-4f47-9fd8-8ae0915c27e1 группы действий id: 4632bb3a-7f8c-49f6-8299-1cbbf27cf3a1 Резуль
Выполнение программы C:\Users\ilya.krabik\Python313\python.exe действия id: <id> группы действий id: <id> Результат: 1,2,1,Выполнение программы C:\Users\ilya.krabik\Python313\python.exe действия id: 967f6bf0-bbe3-4ee0-9695-ad02f574d20e группы действий id: 37da0f0d-5e71-4a94-97cb-fca2936b0405 Результат: 1 | Выполнение программы C:\Users\ilya.krabik\Python313\python.exe действия id: 967f6bf0-bbe3-4ee0-9695-ad02f574d20e группы действий id: 37da0f0d-5e71-4a94-97cb-fca2936b0405 Результат: 1
Выполнение программы C:\Users\ilya.krabik\anaconda3\envs\pytools_envs\python.exe действия id: <id> группы действий id: <id> Результат: -1,2,1,Выполнение программы C:\Users\ilya.krabik\anaconda3\envs\pytools_envs\python.exe действия id: 967f6bf0-bbe3-4ee0-9695-ad02f574d20e группы действий id: 6ffd058a-69d2-44c9-9515-c19e0f338750 Результат: -1 | Выполнение программы C:\Users\ilya.krabik\anaconda3\envs\pytools_envs\python.exe действия id: 967f6bf0-bbe3-4ee0-9695-ad02f574d20e группы действий id: 6ffd058a-69d2-44c9-9515-c19e0f338750 Результат: -1
"Выполнение действия Profile id: <id> группы действий id: <id> Файла не существует по пути ""C:\Users\user\Documents\Zenno\youtube_\profiles\a",2,1,"Выполнение действия Profile id: e15c8b44-110a-4334-8f9e-29d108ee72be группы действий id: 93302839-cbba-4ad1-9cdb-8a949378cb81 Файла не существует по пути ""C:\Users\user\Documents\Zenno\youtube_\profiles\adibirih26@gmail. | Выполнение действия Profile id: e15c8b44-110a-4334-8f9e-29d108ee72be группы действий id: 93302839-cbba-4ad1-9cdb-8a949378cb81 Файла не существует по пути ""C:\Users\user\Documents\Zenno\youtube_\profiles\adibirih26@gmail."
Выполнение действия Создать профили ZennoBrowser id: <id> группы действий id: <id> Списка с указанным именем не существует,2,1,Выполнение действия Создать профили ZennoBrowser id: 03100e9c-a68e-4a32-a662-52367d41e415 группы действий id: 88414831-33e0-4b9d-b31c-68c3e83b0650 Списка с указанным именем не существует | Выполнение действия Создать профили ZennoBrowser id: 03100e9c-a68e-4a32-a662-52367d41e415 группы действий id: 88414831-33e0-4b9d-b31c-68c3e83b0650 Списка с указанным именем не существует
Выполнение действия WebBrowserTabManagement id: <id> группы действий id: <id> Не нашли вкладку TW в инстансе. Инстанс <n>:<n>.0.0.1 | System,2,1,Выполнение действия WebBrowserTabManagement id: b55a8269-d3c1-42d4-980f-77462d1e3b68 группы действий id: 87216273-0688-4be7-a1a7-f3799eec9f9b Не нашли вкладку TW в инстансе. Инстанс 50606:127.0.0.1 | System.Exception: Не | Выполнение действия WebBrowserTabManagement id: b55a8269-d3c1-42d4-980f-77462d1e3b68 группы действий id: 87216273-0688-4be7-a1a7-f3799eec9f9b Не нашли вкладку TW в инстансе. Инстанс 50606:127.0.0.1 | System.Exception: Не
